IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP106;IP_PROP105;IP_PROP108;IP_PROP104;IP_PROP109;IP_PROP187;IC_GROUP0;IC_GROUP1;IC_GROUP2
250;№СФ/114-2515;7181;N;;;/upload/iblock/eaf/fsb_114-2515_gate-st-kc1.jpg;"<p>
	 Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-1)</b> соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС1</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sertifikat-sootvetstviya-sf-114-2515;10;;01.12.2017 17:33;01.12.2014 23:59;ST;95;Сертификаты ФСБ России;;Версия 4.1;;
250;№СФ/114-2515;7181;N;;;/upload/iblock/eaf/fsb_114-2515_gate-st-kc1.jpg;"<p>
	 Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-1)</b> соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС1</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sertifikat-sootvetstviya-sf-114-2515;10;;01.12.2017 17:33;01.12.2014 23:59;ST;99;Сертификаты ФСБ России;;Версия 4.1;;
250;№СФ/114-2515;7181;N;;;/upload/iblock/eaf/fsb_114-2515_gate-st-kc1.jpg;"<p>
	 Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-1)</b> соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС1</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sertifikat-sootvetstviya-sf-114-2515;10;;01.12.2017 17:33;01.12.2014 23:59;ST;113;Сертификаты ФСБ России;;Версия 4.1;;
250;№СФ/114-2515;7181;N;;;/upload/iblock/eaf/fsb_114-2515_gate-st-kc1.jpg;"<p>
	 Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-1)</b> соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС1</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sertifikat-sootvetstviya-sf-114-2515;10;;01.12.2017 17:33;01.12.2014 23:59;ST;117;Сертификаты ФСБ России;;Версия 4.1;;
250;№СФ/114-2515;7181;N;;;/upload/iblock/eaf/fsb_114-2515_gate-st-kc1.jpg;"<p>
	 Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-1)</b> соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС1</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sertifikat-sootvetstviya-sf-114-2515;10;;01.12.2017 17:33;01.12.2014 23:59;ST;119;Сертификаты ФСБ России;;Версия 4.1;;
446;№СФ/124-2516;7182;N;;;/upload/iblock/e5b/fsb_124-2516_gate-st-kc2.jpg;"<p>
	Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-3)</b>
	соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС2</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sf-124-2516;20;;01.12.2017 9:40;01.12.2014 9:40;ST;95;Сертификаты ФСБ России;;Версия 4.1;;
446;№СФ/124-2516;7182;N;;;/upload/iblock/e5b/fsb_124-2516_gate-st-kc2.jpg;"<p>
	Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-3)</b>
	соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС2</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sf-124-2516;20;;01.12.2017 9:40;01.12.2014 9:40;ST;104;Сертификаты ФСБ России;;Версия 4.1;;
446;№СФ/124-2516;7182;N;;;/upload/iblock/e5b/fsb_124-2516_gate-st-kc2.jpg;"<p>
	Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-3)</b>
	соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС2</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sf-124-2516;20;;01.12.2017 9:40;01.12.2014 9:40;ST;113;Сертификаты ФСБ России;;Версия 4.1;;
447;№СФ/124-2517;7183;N;;;/upload/iblock/63b/fsb_124-2517_gate-st-kc3.jpg;"<p>
	Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-5)</b> соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС3</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sf-124-2517;30;;01.12.2017 9:44;01.12.2014 9:43;ST;95;Сертификаты ФСБ России;;Версия 4.1;;
447;№СФ/124-2517;7183;N;;;/upload/iblock/63b/fsb_124-2517_gate-st-kc3.jpg;"<p>
	Сертификат удостоверяет, что «Программно-аппаратный комплекс «С-Терра VPN» <b>версия 4.1 (исполнение 3-5)</b> соответствует ГОСТ 28147-89, ГОСТ Р 34.11-94, ГОСТ Р 34.10-2001, ГОСТ Р 34.10-2012, ГОСТ Р 34.11-2012 и требованиям ФСБ России к шифровальным (криптографическим) средствам класса <b>КС3</b> и может использоваться для криптографической защиты (шифрование и имитозащита пакетов по протоколам IPSec АН и/или IPSec ESP, криптографическая аутентификация абонентов при установлении соединения) информации, не содержащей сведений, составляющих государственную тайну.
</p>";html;;;text;sf-124-2517;30;;01.12.2017 9:44;01.12.2014 9:43;ST;113;Сертификаты ФСБ России;;Версия 4.1;;
